name,email,subject,date,year,month,day,hour,minute,domain,party,disclaimer,committee,cogito_14b,gpt-4o_november,granite31_dense,olmo2_13b,phi4_november,mistral_small,qwq_november,internlm3_8b,qwen3_14b,qwen25_november,qwen3_32b,granite3.2_november,cogito_70b,llama_4,internlm2_november,phi3_november,openthinker_32b,olmo2_7b,llama33_november,cogito_32b,granite3.3_november,gemma3_27b,deepseek_r1,gemini_25,qwen3_8b,command_a,gpt_5,gemini20_flash,claude35_haiku,mixtral_november,command_r7b,gpt_41,mistral_nemo,exaone35_32b,hermes3_70b,gemma3_12b,gptoss20b_november,claude_sonnet,exaone_deep,tulu3_8b,gemma2_november,claude35_sonnet,phi4_reasoning,gemini25_flash,qwen25_72b,phi4_mini,claude37_sonnet,o3-mini_november,gemma2_27b,claude_haiku,model_count,exact_matches
10X MATCH,hello@m.conservativeum.com,The Witching Hour: LAST CHANCE to stop Pelosi and Kamala,11/1/24 0:05,2024,11,1,0,5,m.conservativeum.com,R,True,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE (NRCC),NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,THE NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,THE NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NRCC,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE (NRCC),NRCC,NRCC,NRCC,NRCC,50,45
"Jalen Nix, Deputy Executive Director, PA Dems",info@padems.com,PA will decide who wins in 5 days,11/1/24 0:05,2024,11,1,0,5,padems.com,D,True,PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,,THE PENNSYLVANIA DEMOCRATIC PARTY,,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,THE PENNSYLVANIA DEMOCRATIC PARTY,48,1
John James,info@freedomtrainalert.com,Falling behind,11/1/24 0:08,2024,11,1,0,8,freedomtrainalert.com,R,True,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMESFOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMESFOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,JOHN JAMES FOR MICHIGAN,50,47
Shawnna Bolick,info@bolickforarizona.com,Fake Ads,11/1/24 0:09,2024,11,1,0,9,bolickforarizona.com,R,True,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,,VOTE BOLICK,,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,OKGOP,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,VOTE BOLICK,47,46
rebecca cooke (personal),info@cookeforwisconsin.com,getting out the vote in WI-03:,11/1/24 0:10,2024,11,1,0,10,cookeforwisconsin.com,D,True,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKEFOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKEFOR CONGRESS,,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKEFOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKEFOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,COOKE FOR CONGRESS,49,45
OKGOP,okgop@okgop.com,Day 3 of Early Voting is,11/1/24 0:10,2024,11,1,0,10,okgop.com,R,True,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,OKGOP,49,49
Angus King,info@richardblumenthal.com,Long days and long nights,11/1/24 0:10,2024,11,1,0,10,richardblumenthal.com,D,True,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,BLUMENTHAL FOR CONNECTICUT,48,48
Yadira Caraveo,info@caraveoforcongress.com,all tricks and no treat,11/1/24 0:11,2024,11,1,0,11,caraveoforcongress.com,D,True,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,CARAVEO FOR CONGRESS,47,47
Team Casey,info@email.bobcasey.com,Not what you want to see,11/1/24 0:12,2024,11,1,0,12,email.bobcasey.com,D,True,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE,BOB CASEY FOR SENATE,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,49,42
President Bill Clinton,info@derektranforcongress.com,Derek Tran,11/1/24 0:12,2024,11,1,0,12,derektranforcongress.com,D,True,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,TRADITIONAL REPUBLICAN COMMITTEE,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,DEREK TRAN FOR CONGRESS,49,47
Emilia Sykes,info@emiliasykesforcongress.com,"Peter, we need your help!",11/1/24 0:22,2024,11,1,0,22,emiliasykesforcongress.com,D,True,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,,EMILIA SYKES FOR CONGRESS,"EMILIASYKES FOR CONGRESS, PO BOX 1347 AKRON, OH 44309 UNITED STATES",EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIASYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,EMILIA SYKES FOR CONGRESS,48,46
Nella Domenici,info@freedomfirstalert.com,At the border,11/1/24 0:22,2024,11,1,0,22,freedomfirstalert.com,R,True,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,NELLA FOR SENATE,49,49
zoe (personal),info@zoelofgren.com,the last time,11/1/24 0:22,2024,11,1,0,22,zoelofgren.com,D,True,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOHRGEN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,LOFGREN FOR CONGRESS,49,48
Hung Cao,info@justandfreegop.com,Re: my last email,11/1/24 0:25,2024,11,1,0,25,justandfreegop.com,R,True,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FORVIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FORVIRGINIA,HUNG CAO FOR VIRGINIA,HUNG CAO FOR VIRGINIA,50,47
eric sorensen (personal),info@ericforillinois.com,help us get out the vote:,11/1/24 0:26,2024,11,1,0,26,ericforillinois.com,D,True,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SÖRENSEN FOR ILLINOIS,,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,ERIC SORENSEN FOR ILLINOIS,49,48
